,messages
2023-12-31,18
2024-01-01,0
2024-01-02,12
2024-01-03,5
2024-01-04,6
2024-01-05,39
2024-01-06,44
2024-01-07,19
2024-01-08,107
2024-01-09,13
2024-01-10,25
2024-01-11,80
2024-01-12,269
2024-01-13,304
2024-01-14,156
2024-01-15,77
2024-01-16,138
2024-01-17,120
2024-01-18,145
2024-01-19,66
2024-01-20,153
2024-01-21,207
2024-01-22,89
2024-01-23,218
2024-01-24,61
2024-01-25,28
2024-01-26,36
2024-01-27,43
2024-01-28,14
2024-01-29,55
2024-01-30,39
2024-01-31,54
2024-02-01,16
2024-02-02,6
2024-02-03,43
2024-02-04,31
2024-02-05,6
2024-02-06,155
2024-02-07,7
2024-02-08,0
2024-02-09,22
2024-02-10,131
2024-02-11,51
2024-02-12,277
2024-02-13,27
2024-02-14,75
2024-02-15,65
2024-02-16,182
2024-02-17,15
2024-02-18,41
2024-02-19,11
2024-02-20,30
2024-02-21,12
2024-02-22,85
2024-02-23,85
2024-02-24,6
2024-02-25,32
2024-02-26,24
2024-02-27,34
2024-02-28,66
2024-02-29,7
2024-03-01,5
2024-03-02,0
2024-03-03,0
2024-03-04,7
2024-03-05,10
2024-03-06,2
2024-03-07,0
2024-03-08,8
2024-03-09,9
2024-03-10,3
2024-03-11,2
2024-03-12,83
2024-03-13,82
2024-03-14,7
2024-03-15,3
2024-03-16,12
2024-03-17,0
2024-03-18,25
2024-03-19,8
2024-03-20,63
2024-03-21,31
2024-03-22,2
2024-03-23,0
2024-03-24,14
2024-03-25,18
2024-03-26,4
2024-03-27,1
2024-03-28,13
2024-03-29,4
2024-03-30,8
2024-03-31,0
2024-04-01,7
2024-04-02,0
2024-04-03,7
2024-04-04,13
2024-04-05,1
2024-04-06,0
2024-04-07,0
2024-04-08,1
2024-04-09,0
2024-04-10,0
2024-04-11,1
2024-04-12,34
2024-04-13,61
2024-04-14,34
2024-04-15,41
2024-04-16,10
2024-04-17,29
2024-04-18,85
2024-04-19,2
2024-04-20,0
2024-04-21,17
2024-04-22,1
2024-04-23,28
2024-04-24,108
2024-04-25,0
2024-04-26,233
2024-04-27,170
2024-04-28,85
2024-04-29,61
2024-04-30,26
2024-05-01,106
2024-05-02,33
2024-05-03,24
2024-05-04,63
2024-05-05,9
2024-05-06,75
2024-05-07,36
2024-05-08,12
2024-05-09,24
2024-05-10,2
2024-05-11,53
2024-05-12,210
2024-05-13,48
2024-05-14,175
2024-05-15,355
2024-05-16,42
2024-05-17,65
2024-05-18,7
2024-05-19,63
2024-05-20,6
2024-05-21,71
2024-05-22,7
2024-05-23,1
2024-05-24,0
2024-05-25,16
2024-05-26,67
2024-05-27,25
2024-05-28,61
2024-05-29,58
2024-05-30,10
2024-05-31,23
2024-06-01,12
2024-06-02,14
2024-06-03,11
2024-06-04,94
2024-06-05,1
2024-06-06,3
2024-06-07,16
2024-06-08,12
2024-06-09,70
2024-06-10,249
2024-06-11,5
2024-06-12,152
2024-06-13,21
2024-06-14,116
2024-06-15,40
2024-06-16,411
2024-06-17,111
2024-06-18,46
2024-06-19,19
2024-06-20,35
2024-06-21,18
2024-06-22,4
2024-06-23,4
2024-06-24,52
2024-06-25,0
2024-06-26,20
2024-06-27,1
2024-06-28,8
2024-06-29,0
2024-06-30,0
2024-07-01,4
2024-07-02,24
2024-07-03,7
2024-07-04,14
2024-07-05,3
2024-07-06,7
2024-07-07,14
2024-07-08,7
2024-07-09,8
2024-07-10,17
2024-07-11,7
2024-07-12,115
2024-07-13,58
2024-07-14,87
2024-07-15,19
2024-07-16,94
2024-07-17,11
2024-07-18,27
2024-07-19,5
2024-07-20,42
2024-07-21,0
2024-07-22,29
2024-07-23,25
2024-07-24,17
2024-07-25,3
2024-07-26,3
2024-07-27,0
2024-07-28,7
2024-07-29,2
2024-07-30,12
2024-07-31,16
2024-08-01,13
2024-08-02,30
2024-08-03,17
2024-08-04,4
2024-08-05,2
2024-08-06,5
2024-08-07,246
2024-08-08,87
2024-08-09,32
2024-08-10,5
2024-08-11,5
2024-08-12,137
2024-08-13,139
2024-08-14,125
2024-08-15,237
2024-08-16,67
2024-08-17,29
2024-08-18,18
2024-08-19,131
2024-08-20,61
2024-08-21,36
2024-08-22,15
2024-08-23,125
2024-08-24,187
2024-08-25,157
2024-08-26,9
2024-08-27,48
2024-08-28,29
2024-08-29,3
2024-08-30,49
2024-08-31,1
2024-09-01,0
2024-09-02,31
2024-09-03,6
2024-09-04,7
2024-09-05,2
2024-09-06,14
2024-09-07,5
2024-09-08,27
2024-09-09,0
2024-09-10,46
2024-09-11,25
2024-09-12,78
2024-09-13,153
2024-09-14,66
2024-09-15,11
2024-09-16,12
2024-09-17,50
2024-09-18,8
2024-09-19,14
2024-09-20,9
2024-09-21,27
2024-09-22,121
2024-09-23,32
2024-09-24,2
2024-09-25,1
2024-09-26,29
2024-09-27,24
2024-09-28,4
2024-09-29,1
2024-09-30,0
2024-10-01,7
2024-10-02,10
2024-10-03,17
2024-10-04,1
2024-10-05,17
2024-10-06,64
2024-10-07,0
2024-10-08,3
2024-10-09,17
2024-10-10,3
2024-10-11,1
2024-10-12,56
2024-10-13,45
2024-10-14,110
2024-10-15,86
2024-10-16,177
2024-10-17,51
2024-10-18,26
2024-10-19,7
2024-10-20,0
2024-10-21,16
2024-10-22,3
2024-10-23,5
2024-10-24,14
2024-10-25,0
2024-10-26,0
2024-10-27,6
2024-10-28,20
2024-10-29,10
2024-10-30,44
2024-10-31,1
2024-11-01,1
2024-11-02,49
2024-11-03,40
2024-11-04,0
2024-11-05,0
2024-11-06,0
2024-11-07,46
2024-11-08,8
2024-11-09,6
2024-11-10,31
2024-11-11,29
2024-11-12,13
2024-11-13,48
2024-11-14,209
2024-11-15,285
2024-11-16,20
2024-11-17,88
2024-11-18,231
2024-11-19,137
2024-11-20,292
2024-11-21,167
2024-11-22,370
2024-11-23,81
2024-11-24,383
2024-11-25,220
2024-11-26,450
2024-11-27,117
2024-11-28,2
2024-11-29,339
2024-11-30,33
2024-12-01,160
2024-12-02,120
2024-12-03,12
2024-12-04,41
2024-12-05,20
2024-12-06,1
2024-12-07,29
2024-12-08,14
2024-12-09,121
2024-12-10,63
2024-12-11,15
2024-12-12,67
2024-12-13,82
2024-12-14,127
2024-12-15,171
2024-12-16,54
2024-12-17,74
2024-12-18,29
2024-12-19,13
2024-12-20,16
2024-12-21,68
2024-12-22,29
2024-12-23,22
2024-12-24,2
2024-12-25,0
2024-12-26,15
2024-12-27,61
2024-12-28,35
2024-12-29,12
2024-12-30,2
